1,2,3,4,5,6,7,8,9,10
南無阿彌陀佛(慈傑法師),阿彌陀佛(天禪法師),南無本師釋迦牟尼佛(慈傑法師),南無觀世音菩薩(慈傑法師),南無地藏王菩薩(慈傑法師),孔雀明王咒(慈傑法師),孔雀明王咒-快(慈傑法師),佛母明王尊聖號(慈傑法師),消災延壽藥師佛(慈傑法師),南無當來下生彌勒佛(妙峰法師)
nwamtf_m,amtf_m,nwbssjmnf_m,nwgsyps_m,nwdzwps_m,kqmwz_m,kqmwz_k,fmmwzsh_m,xzysysf_m,nwdlxsmlf_m
nwamtf,nwamtf,nwbssjmnf,nwgsyps,nwdzwps,kqmw,kqmw,kqmw,xzysysf,nwdlxsmlf
jlsj,jlsj,ljs,jlsj,jlsj,jlsj,jlsj,jlsj,llsj,dstg
8,2,5,4,4,7,7,18,10,5
9.63,4.18,9.43,11.2,10.5,5.73,3.64,11.31,8.04,12.02
hb,hb,hb,hb,hb,ym,ym,ym,hb,hb
zfj,zfj,sjj,gyj,dzz,kqj,kqj,kqj,ysz,mtz
am_20.92,am_20.92,sj_31.18,gy_31.7,dz_22,kq_20.5,kq_20.5,kq_20.5,ys_27.75,ml_33.12
0.18,0.16,0.21,0.21,0.23,0.14,0.13,0.25,0.29,0.24
0.79,0.71,2.13,1.64,1.57,0.95,0.63,0.84,1.09,1.48
1.39,1.23,3.98,3.07,2.87,1.76,1.19,1.44,1.96,2.67
1.98,1.75,5.86,4.48,4.22,2.55,1.72,2.09,2.74,3.93
2.58,2.27,7.81,5.9,5.54,3.33,2.25,2.64,3.54,5.09
3.19,2.8,,7.28,6.83,4.22,2.79,3.31,4.39,6.27
3.81,3.33,,8.7,8.15,5.02,3.31,3.96,5.19,7.44
4.39,3.84,,10.12,9.49,,,4.6,6,8.63
5.01,,,,,,,5.17,6.79,9.85
5.6,,,,,,,5.8,7.64,10.98
6.17,,,,,,,6.48,,
6.78,,,,,,,7.13,,
7.38,,,,,,,7.73,,
7.99,,,,,,,8.38,,
8.59,,,,,,,9.04,,
9.21,,,,,,,9.66,,
,,,,,,,10.29,,
,,,,,,,10.94,,
